DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
138,14.16,11.0,3.15,2.36
132,48.36,40.0,0.01,8.06
132,28.3,21.0,6.7,6.5
132,70.7,52.0,17.58,11.78
132,76.6,52.0,17.76,17.68
132,50.15,41.0,15.4,8.35
1,83.16,58.5,15.05,13.86
138,32.9,20.5,6.75,5.48
138,38.9,25.5,8.11,6.48
132,74.76,62.0,0.02,12.46
138,15.96,12.5,3.64,2.66
132,68.92,52.0,18.09,10.0
138,13.8,11.0,3.15,2.0
132,46.71,36.5,11.98,7.46
138,40.7,27.0,8.85,6.78
132,42.3,40.0,13.91,2.0
138,14.8,12.0,3.3,2.0
138,30.36,25.0,5.01,5.06
132,70.7,52.0,19.02,11.78
132,68.92,52.0,16.11,10.0
138,35.9,23.0,7.32,5.98
138,40.7,27.0,8.3,6.78
138,15.96,12.5,3.51,2.66
138,15.36,12.0,3.41,2.56
138,20.3,17.5,5.12,2.0
138,14.16,11.0,3.16,2.36
138,38.74,29.0,10.26,8.94
138,40.7,27.0,9.13,6.78
132,69.94,53.0,18.81,16.14
1,110.45,79.5,22.79,18.41
138,22.88,20.0,6.71,2.08
138,43.94,33.0,11.66,10.14
132,51.36,42.0,15.52,8.56
138,14.76,11.5,3.43,2.46
138,13.8,12.0,3.54,1.0
132,45.3,38.5,14.0,6.0
132,59.76,49.0,17.7,9.96
138,30.38,23.5,8.18,6.08
138,42.5,28.5,9.82,7.08
132,51.62,40.5,14.23,10.32
132,42.25,36.5,11.52,3.0
132,70.7,52.0,15.21,11.78
132,70.7,52.0,19.0,11.78
132,60.8,53.0,18.56,7.0
132,70.7,52.0,18.84,11.78
138,47.16,39.0,0.03,7.86
138,41.3,27.5,8.15,6.88
132,70.7,52.0,17.37,11.78
138,17.0,13.5,4.07,2.7
132,42.36,35.0,9.46,7.06
132,24.96,20.0,6.72,4.16
132,44.16,36.0,11.23,7.36
138,46.1,31.5,10.83,7.68
132,22.56,18.0,5.85,3.76
138,12.3,10.5,3.04,1.0
138,54.51,40.5,13.98,8.26
132,47.16,38.5,13.84,7.86
138,22.25,17.0,5.49,4.45
138,16.64,12.0,3.54,3.84
138,24.36,19.5,6.35,4.06
132,73.82,53.0,18.23,14.76
132,47.76,39.0,12.48,7.96
132,23.76,19.0,6.59,3.96
138,19.55,15.0,3.5,3.25
132,28.56,22.5,7.49,4.76
138,27.36,21.5,7.3,4.56
132,47.84,35.5,12.74,11.04
132,44.3,38.0,13.94,5.0
138,17.16,13.0,3.58,2.86
138,12.3,9.0,2.05,2.0
138,29.87,17.5,5.9,4.95
132,43.8,40.5,14.73,2.0
132,70.7,52.0,21.7,11.78
132,70.7,52.0,16.83,11.78
138,17.76,13.5,3.86,2.96
132,28.8,23.0,7.38,5.0
138,16.3,13.5,3.16,2.0
1,116.16,86.0,26.05,19.36
132,22.56,18.0,5.82,3.76
132,27.88,22.0,6.31,5.58
138,11.8,10.0,2.81,1.0
132,73.65,52.0,17.64,14.73
138,16.18,12.5,3.77,2.88
138,63.25,53.5,19.91,7.0
132,54.96,45.0,16.88,9.16
138,13.8,11.0,3.07,2.0
138,56.1,55.0,0.03,0.8
138,13.0,11.0,3.37,1.2
138,12.36,9.5,2.8,2.06
132,48.5,38.0,14.2,9.7
138,18.51,13.0,3.12,2.76
132,65.16,53.5,19.28,10.86
138,32.4,18.0,6.01,7.48
138,26.16,21.0,7.14,4.36
138,16.62,12.5,3.56,3.32
138,39.05,24.0,8.33,6.18
138,37.56,30.5,7.79,6.26
138,42.92,32.0,10.73,4.0
138,23.16,18.5,5.71,3.86
138,39.9,25.0,7.92,7.98
138,38.3,33.5,12.1,4.0
1,150.66,110.0,14.95,25.11
138,37.1,24.0,7.93,6.18
138,14.3,12.5,3.44,1.0
138,14.76,11.5,3.21,2.46
138,50.4,38.0,12.4,11.6
138,30.42,22.5,7.62,1.0
138,12.3,10.5,3.15,1.0
132,70.7,52.0,16.57,11.78
138,44.9,30.5,10.97,7.48
132,70.7,52.0,18.79,11.78
138,32.8,30.0,10.43,2.0
132,27.36,22.0,7.13,4.56
138,11.31,10.5,2.9,0.01
1,123.25,71.5,26.24,24.26
138,13.8,12.5,3.32,0.5
138,32.9,20.5,6.8,5.48
138,17.16,13.5,3.85,2.86
132,76.6,52.0,19.08,17.68
138,27.36,22.0,7.45,4.56
138,15.96,12.5,3.59,2.66
132,27.36,22.0,7.27,4.56
132,23.16,18.5,6.49,3.86
138,16.56,13.0,3.52,2.76
132,29.12,22.5,7.3,5.82
138,55.71,44.0,15.93,8.96
132,54.12,42.5,15.47,10.82
138,15.3,12.5,3.58,2.0
138,28.56,23.0,7.43,4.76
138,30.5,18.5,6.09,5.08
132,29.64,22.0,7.36,6.84
132,64.7,48.0,15.8,14.9
132,47.95,36.0,11.68,9.2
138,41.15,26.0,8.28,8.23
138,36.96,30.0,10.38,6.16
